player_id,name,position,team,consensus_pos_rank,my_pos_rank,tier,overall_rank,drafted,bye_week,SOS,ECRvsADP
1,Ja'Marr Chase,WR,CIN,1,1,1,1,0,10,3,0
2,Bijan Robinson,RB,ATL,1,1,1,2,0,5,4,1
3,Saquon Barkley,RB,PHI,2,2,1,3,0,9,3,-1
4,Justin Jefferson,WR,MIN,2,2,1,4,0,6,2,1
5,Jahmyr Gibbs,RB,DET,3,3,1,5,0,8,2,-1
6,CeeDee Lamb,WR,DAL,3,3,1,6,0,10,2,0
7,Puka Nacua,WR,LAR,4,4,2,7,0,8,3,1
8,Malik Nabers,WR,NYG,5,5,2,8,0,14,2,4
9,Nico Collins,WR,HOU,6,6,2,9,0,6,4,4
10,Amon-Ra St. Brown,WR,DET,7,7,2,10,0,8,3,-1
11,Brian Thomas Jr.,WR,JAC,8,8,2,11,0,8,4,4
12,Christian McCaffrey,RB,SF,4,11,2,12,0,14,3,-5
13,Ashton Jeanty,RB,LV,5,4,2,13,0,8,2,-2
14,Derrick Henry,RB,BAL,6,5,2,14,0,7,4,-4
15,De'Von Achane,RB,MIA,7,6,2,15,0,12,4,-1
16,Drake London,WR,ATL,9,9,2,16,0,5,3,4
17,Brock Bowers,TE,LV,1,1,1,17,0,8,2,0
18,A.J. Brown,WR,PHI,10,11,2,18,0,9,3,3
19,Jonathan Taylor,RB,IND,8,7,2,19,0,11,2,-1
20,Josh Jacobs,RB,GB,9,8,2,20,0,5,4,-4
21,Bucky Irving,RB,TB,10,9,3,21,0,9,3,-2
22,Ladd McConkey,WR,LAC,11,10,3,22,0,12,3,3
23,Trey McBride,TE,ARI,2,2,1,23,0,8,5,4
24,Chase Brown,RB,CIN,11,10,3,24,0,10,4,0
25,Josh Allen,QB,BUF,1,1,1,25,0,7,4,-3
26,Lamar Jackson,QB,BAL,2,2,1,26,0,7,3,-3
27,Kyren Williams,RB,LAR,12,12,3,27,0,8,3,-1
28,Tee Higgins,WR,CIN,12,13,3,28,0,10,3,5
29,Jaxon Smith-Njigba,WR,SEA,13,12,3,29,0,8,3,1
30,Tyreek Hill,WR,MIA,14,14,3,30,0,12,3,-1
31,Garrett Wilson,WR,NYJ,15,15,3,31,0,9,4,3
32,George Kittle,TE,SF,3,3,2,32,0,14,3,3
33,Jayden Daniels,QB,WAS,3,4,1,33,0,12,2,-5
34,Davante Adams,WR,LAR,16,16,3,34,0,8,3,4
35,Mike Evans,WR,TB,17,17,3,35,0,9,3,6
36,Breece Hall,RB,NYJ,13,13,3,36,0,9,5,-5
37,Jalen Hurts,QB,PHI,4,3,1,37,0,9,3,-1
38,James Cook,RB,BUF,14,14,3,38,0,7,4,-6
39,Kenneth Walker III,RB,SEA,15,15,3,39,0,8,3,5
40,Terry McLaurin,WR,WAS,18,18,3,40,0,12,3,-1
41,Marvin Harrison Jr.,WR,ARI,19,19,3,41,0,8,4,2
42,Alvin Kamara,RB,NO,16,16,3,42,0,11,4,-2
43,DJ Moore,WR,CHI,20,24,4,43,0,5,2,4
44,Omarion Hampton,RB,LAC,17,17,3,44,0,12,2,-2
45,Joe Burrow,QB,CIN,5,5,2,45,0,10,2,-8
46,DK Metcalf,WR,PIT,21,20,4,46,0,5,4,2
47,Chuba Hubbard,RB,CAR,18,18,4,47,0,14,3,-2
48,James Conner,RB,ARI,19,19,4,48,0,8,3,-2
49,Courtland Sutton,WR,DEN,22,22,4,49,0,12,3,1
50,DeVonta Smith,WR,PHI,23,23,4,50,0,9,3,4
51,Zay Flowers,WR,BAL,24,21,4,51,0,7,3,6
52,Jameson Williams,WR,DET,25,26,4,52,0,8,3,7
53,David Montgomery,RB,DET,20,20,4,53,0,8,2,0
54,Xavier Worthy,WR,KC,26,25,4,54,0,10,3,4
55,Rashee Rice,WR,KC,27,27,4,55,0,10,3,-6
56,D'Andre Swift,RB,CHI,21,23,4,56,0,5,3,6
57,Jaylen Waddle,WR,MIA,28,28,4,57,0,12,3,16
58,Sam LaPorta,TE,DET,4,4,2,58,0,8,3,-6
59,Tetairoa McMillan,WR,CAR,29,29,4,59,0,14,4,5
60,Calvin Ridley,WR,TEN,30,30,4,60,0,10,4,12
61,Aaron Jones Sr.,RB,MIN,22,22,4,61,0,6,3,4
62,George Pickens,WR,DAL,31,31,4,62,0,10,2,8
63,TreVeyon Henderson,RB,NE,23,21,4,63,0,14,4,-3
64,Patrick Mahomes II,QB,KC,6,7,2,64,0,10,3,-8
65,Tony Pollard,RB,TEN,24,24,4,65,0,10,2,3
66,RJ Harvey,RB,DEN,25,25,4,66,0,12,2,-11
